date,price
1931-11-01,2
1932-11-01,5
1940-01-01,4.2
1945-09-01,15
1947-03-01,50
1948-07-01,270
1949-04-25,360
1950-01-01,360.0000
1950-02-01,360.0000
1950-03-01,360.0000
1950-04-01,360.0000
1950-05-01,360.0000
1950-06-01,360.0000
1950-07-01,360.0000
1950-08-01,360.0000
1950-09-01,360.0000
1950-10-01,360.0000
1950-11-01,360.0000
1950-12-01,360.0000
1951-01-01,360.0000
1951-02-01,360.0000
1951-03-01,360.0000
1951-04-01,360.0000
1951-05-01,360.0000
1951-06-01,360.0000
1951-07-01,360.0000
1951-08-01,360.0000
1951-09-01,360.0000
1951-10-01,360.0000
1951-11-01,360.0000
1951-12-01,360.0000
1952-01-01,360.0000
1952-02-01,360.0000
1952-03-01,360.0000
1952-04-01,360.0000
1952-05-01,360.0000
1952-06-01,360.0000
1952-07-01,360.0000
1952-08-01,360.0000
1952-09-01,360.0000
1952-10-01,360.0000
1952-11-01,360.0000
1952-12-01,360.0000
1953-01-01,360.0000
1953-02-01,360.0000
1953-03-01,360.0000
1953-04-01,360.0000
1953-05-01,360.0000
1953-06-01,360.0000
1953-07-01,360.0000
1953-08-01,360.0000
1953-09-01,360.0000
1953-10-01,360.0000
1953-11-01,360.0000
1953-12-01,360.0000
1954-01-01,360.0000
1954-02-01,360.0000
1954-03-01,360.0000
1954-04-01,360.0000
1954-05-01,360.0000
1954-06-01,360.0000
1954-07-01,360.0000
1954-08-01,360.0000
1954-09-01,360.0000
1954-10-01,360.0000
1954-11-01,360.0000
1954-12-01,360.0000
1955-01-01,360.0000
1955-02-01,360.0000
1955-03-01,360.0000
1955-04-01,360.0000
1955-05-01,360.0000
1955-06-01,360.0000
1955-07-01,360.0000
1955-08-01,360.0000
1955-09-01,360.0000
1955-10-01,360.0000
1955-11-01,360.0000
1955-12-01,360.0000
1956-01-01,360.0000
1956-02-01,360.0000
1956-03-01,360.0000
1956-04-01,360.0000
1956-05-01,360.0000
1956-06-01,360.0000
1956-07-01,360.0000
1956-08-01,360.0000
1956-09-01,360.0000
1956-10-01,360.0000
1956-11-01,360.0000
1956-12-01,360.0000
1957-01-01,360.0000
1957-02-01,360.0000
1957-03-01,360.0000
1957-04-01,360.0000
1957-05-01,360.0000
1957-06-01,360.0000
1957-07-01,360.0000
1957-08-01,360.0000
1957-09-01,360.0000
1957-10-01,360.0000
1957-11-01,360.0000
1957-12-01,360.0000
1958-01-01,360.0000
1958-02-01,360.0000
1958-03-01,360.0000
1958-04-01,360.0000
1958-05-01,360.0000
1958-06-01,360.0000
1958-07-01,360.0000
1958-08-01,360.0000
1958-09-01,360.0000
1958-10-01,360.0000
1958-11-01,360.0000
1958-12-01,360.0000
1959-01-01,360.0000
1959-02-01,360.0000
1959-03-01,360.0000
1959-04-01,360.0000
1959-05-01,360.0000
1959-06-01,360.0000
1959-07-01,360.0000
1959-08-01,360.0000
1959-09-01,360.0000
1959-10-01,360.0000
1959-11-01,360.0000
1959-12-01,360.0000
1960-01-01,360.0000
1960-02-01,360.0000
1960-03-01,360.0000
1960-04-01,360.0000
1960-05-01,360.0000
1960-06-01,360.0000
1960-07-01,360.0000
1960-08-01,360.0000
1960-09-01,360.0000
1960-10-01,360.0000
1960-11-01,360.0000
1960-12-01,360.0000
1961-01-01,360.0000
1961-02-01,360.0000
1961-03-01,360.0000
1961-04-01,360.0000
1961-05-01,360.0000
1961-06-01,360.0000
1961-07-01,360.0000
1961-08-01,360.0000
1961-09-01,360.0000
1961-10-01,360.0000
1961-11-01,360.0000
1961-12-01,360.0000
1962-01-01,360.0000
1962-02-01,360.0000
1962-03-01,360.0000
1962-04-01,360.0000
1962-05-01,360.0000
1962-06-01,360.0000
1962-07-01,360.0000
1962-08-01,360.0000
1962-09-01,360.0000
1962-10-01,360.0000
1962-11-01,360.0000
1962-12-01,360.0000
1963-01-01,360.0000
1963-02-01,360.0000
1963-03-01,360.0000
1963-04-01,360.0000
1963-05-01,360.0000
1963-06-01,360.0000
1963-07-01,360.0000
1963-08-01,360.0000
1963-09-01,360.0000
1963-10-01,360.0000
1963-11-01,360.0000
1963-12-01,360.0000
1964-01-01,360.0000
1964-02-01,360.0000
1964-03-01,360.0000
1964-04-01,360.0000
1964-05-01,360.0000
1964-06-01,360.0000
1964-07-01,360.0000
1964-08-01,360.0000
1964-09-01,360.0000
1964-10-01,360.0000
1964-11-01,360.0000
1964-12-01,360.0000
1965-01-01,360.0000
1965-02-01,360.0000
1965-03-01,360.0000
1965-04-01,360.0000
1965-05-01,360.0000
1965-06-01,360.0000
1965-07-01,360.0000
1965-08-01,360.0000
1965-09-01,360.0000
1965-10-01,360.0000
1965-11-01,360.0000
1965-12-01,360.0000
1966-01-01,360.0000
1966-02-01,360.0000
1966-03-01,360.0000
1966-04-01,360.0000
1966-05-01,360.0000
1966-06-01,360.0000
1966-07-01,360.0000
1966-08-01,360.0000
1966-09-01,360.0000
1966-10-01,360.0000
1966-11-01,360.0000
1966-12-01,360.0000
1967-01-01,360.0000
1967-02-01,360.0000
1967-03-01,360.0000
1967-04-01,360.0000
1967-05-01,360.0000
1967-06-01,360.0000
1967-07-01,360.0000
1967-08-01,360.0000
1967-09-01,360.0000
1967-10-01,360.0000
1967-11-01,360.0000
1967-12-01,360.0000
1968-01-01,360.0000
1968-02-01,360.0000
1968-03-01,360.0000
1968-04-01,360.0000
1968-05-01,360.0000
1968-06-01,360.0000
1968-07-01,360.0000
1968-08-01,360.0000
1968-09-01,360.0000
1968-10-01,360.0000
1968-11-01,360.0000
1968-12-01,360.0000
1969-01-01,360.0000
1969-02-01,360.0000
1969-03-01,360.0000
1969-04-01,360.0000
1969-05-01,360.0000
1969-06-01,360.0000
1969-07-01,360.0000
1969-08-01,360.0000
1969-09-01,360.0000
1969-10-01,360.0000
1969-11-01,360.0000
1969-12-01,360.0000
1970-01-01,360.0000
1970-02-01,360.0000
1970-03-01,360.0000
1970-04-01,360.0000
1970-05-01,360.0000
1970-06-01,360.0000
1970-07-01,360.0000
1970-08-01,360.0000
1970-09-01,360.0000
1970-10-01,360.0000
1970-11-01,360.0000
1970-12-01,360.0000
1971-01-01,360.0000
1971-02-01,360.0000
1971-03-01,360.0000
1971-04-01,360.0000
1971-05-01,360.0000
1971-06-01,360.0000
1971-07-01,360.0000
1971-08-01,360.0000
1971-09-01,360.0000
1971-10-01,360.0000
1971-11-01,360.0000
1971-12-01,308.0000
1972-01-01,308.0000
1972-02-01,308.0000
1972-03-01,308.0000
1972-04-01,308.0000
1972-05-01,308.0000
1972-06-01,308.0000
1972-07-01,308.0000
1972-08-01,308.0000
1972-09-01,308.0000
1972-10-01,308.0000
1972-11-01,308.0000
1972-12-01,308.0000
1973-01-01,301.1500
1973-02-01,270.0000
1973-03-01,265.8300
1973-04-01,265.5000
1973-05-01,264.9500
1973-06-01,265.3000
1973-07-01,263.4500
1973-08-01,265.3000
1973-09-01,265.7000
1973-10-01,266.6800
1973-11-01,279.0000
1973-12-01,280.0000
1974-01-01,299.0000
1974-02-01,287.6000
1974-03-01,276.0000
1974-04-01,279.7500
1974-05-01,281.9000
1974-06-01,284.1000
1974-07-01,297.8000
1974-08-01,302.7000
1974-09-01,298.5000
1974-10-01,299.8500
1974-11-01,300.1000
1974-12-01,300.9500
1975-01-01,297.8500
1975-02-01,286.6000
1975-03-01,293.8000
1975-04-01,293.3000
1975-05-01,291.3500
1975-06-01,296.3500
1975-07-01,297.3500
1975-08-01,297.9000
1975-09-01,302.7000
1975-10-01,301.8000
1975-11-01,303.0000
1975-12-01,305.1500
1976-01-01,303.7000
1976-02-01,302.2500
1976-03-01,299.7000
1976-04-01,299.4000
1976-05-01,299.9500
1976-06-01,297.4000
1976-07-01,293.4000
1976-08-01,288.7600
1976-09-01,287.3000
1976-10-01,293.7000
1976-11-01,296.4500
1976-12-01,293.0000
1977-01-01,288.2500
1977-02-01,283.2500
1977-03-01,277.3000
1977-04-01,277.5000
1977-05-01,277.3000
1977-06-01,266.5000
1977-07-01,266.3000
1977-08-01,267.4300
1977-09-01,264.5000
1977-10-01,250.6500
1977-11-01,244.2000
1977-12-01,240.0000
1978-01-01,241.7400
1978-02-01,238.8300
1978-03-01,223.4000
1978-04-01,223.9000
1978-05-01,223.1500
1978-06-01,204.5000
1978-07-01,190.8000
1978-08-01,190.0000
1978-09-01,189.1500
1978-10-01,176.0500
1978-11-01,197.8000
1978-12-01,195.1000
1979-01-01,201.4000
1979-02-01,202.3500
1979-03-01,209.3000
1979-04-01,219.1500
1979-05-01,219.7000
1979-06-01,217.0000
1979-07-01,216.9000
1979-08-01,220.0500
1979-09-01,223.4500
1979-10-01,237.8000
1979-11-01,249.5000
1979-12-01,239.9000
1980-01-01,238.8
1980-02-01,249.8
1980-03-01,249.7
1980-04-01,238.3
1980-05-01,224.4
1980-06-01,218.15
1980-07-01,226.85
1980-08-01,219.2
1980-09-01,212
1980-10-01,211.75
1980-11-01,216.75
1980-12-01,203.6
1981-01-01,205.2
1981-02-01,208.85
1981-03-01,211.4
1981-04-01,215
1981-05-01,223.5
1981-06-01,225.75
1981-07-01,239.75
1981-08-01,228.75
1981-09-01,231.55
1981-10-01,233.35
1981-11-01,214.15
1981-12-01,220.25
1982-01-01,228.45
1982-02-01,235.2
1982-03-01,248.3
1982-04-01,236.3
1982-05-01,243.7
1982-06-01,255.55
1982-07-01,256.65
1982-08-01,259.6
1982-09-01,269.4
1982-10-01,277.4
1982-11-01,253.45
1982-12-01,235.3
1983-01-01,238.4
1983-02-01,235.55
1983-03-01,239.3
1983-04-01,237.7
1983-05-01,238.6
1983-06-01,239.8
1983-07-01,241.5
1983-08-01,246.75
1983-09-01,236.1
1983-10-01,233.65
1983-11-01,234.2
1983-12-01,232
1984-01-01,234.74
1984-02-01,233.28
1984-03-01,224.75
1984-04-01,226.3
1984-05-01,231.63
1984-06-01,237.45
1984-07-01,245.45
1984-08-01,241.7
1984-09-01,245.4
1984-10-01,245.3
1984-11-01,246.5
1984-12-01,251.58
1985-01-01,254.78
1985-02-01,259
1985-03-01,250.7
1985-04-01,251.4
1985-05-01,251.78
1985-06-01,248.95
1985-07-01,236.65
1985-08-01,237.1
1985-09-01,216
1985-10-01,211.8
1985-11-01,202.05
1985-12-01,200.6
1986-01-01,192.65
1986-02-01,180.45
1986-03-01,179.65
1986-04-01,168.1
1986-05-01,172.05
1986-06-01,163.95
1986-07-01,154.15
1986-08-01,156.05
1986-09-01,153.63
1986-10-01,161.45
1986-11-01,162.2
1986-12-01,160.1
1987-01-01,152.3
1987-02-01,153.15
1987-03-01,145.65
1987-04-01,139.65
1987-05-01,144.15
1987-06-01,146.75
1987-07-01,149.25
1987-08-01,142.35
1987-09-01,146.35
1987-10-01,138.55
1987-11-01,132.45
1987-12-01,122
1988-01-01,127.18
1988-02-01,128.12
1988-03-01,124.5
1988-04-01,124.82
1988-05-01,124.8
1988-06-01,132.2
1988-07-01,132.53
1988-08-01,134.97
1988-09-01,134.3
1988-10-01,125
1988-11-01,121.85
1988-12-01,125.9
1989-01-01,129.13
1989-02-01,127.15
1989-03-01,132.55
1989-04-01,132.49
1989-05-01,142.7
1989-06-01,143.95
1989-07-01,138.4
1989-08-01,144.28
1989-09-01,139.35
1989-10-01,142.15
1989-11-01,142.9
1989-12-01,143.4
1990-01-01,144.4
1990-02-01,148.52
1990-03-01,157.65
1990-04-01,159.08
1990-05-01,151.75
1990-06-01,152.85
1990-07-01,147.5
1990-08-01,144.5
1990-09-01,137.95
1990-10-01,129.35
1990-11-01,132.75
1990-12-01,135.4
1991-01-01,131.4
1991-02-01,131.95
1991-03-01,140.55
1991-04-01,137.42
1991-05-01,137.97
1991-06-01,138.15
1991-07-01,137.83
1991-08-01,136.88
1991-09-01,132.95
1991-10-01,131
1991-11-01,130.07
1991-12-01,125.25
1992-01-01,125.78
1992-02-01,129.33
1992-03-01,133.05
1992-04-01,133.38
1992-05-01,128.33
1992-06-01,125.55
1992-07-01,127.3
1992-08-01,123.42
1992-09-01,119.25
1992-10-01,123.35
1992-11-01,124.75
1992-12-01,124.65
1993-01-01,124.3
1993-02-01,117.85
1993-03-01,115.35
1993-04-01,111.1
1993-05-01,107.45
1993-06-01,106.51
1993-07-01,105.6
1993-08-01,104.18
1993-09-01,105.1
1993-10-01,108.23
1993-11-01,108.82
1993-12-01,111.89
1994-01-01,109.55
1994-02-01,104.3
1994-03-01,102.8
1994-04-01,102.38
1994-05-01,104.38
1994-06-01,98.95
1994-07-01,99.93
1994-08-01,99.57
1994-09-01,98.59
1994-10-01,97.37
1994-11-01,98.98
1994-12-01,99.83
1995-01-01,98.58
1995-02-01,96.93
1995-03-01,88.38
1995-04-01,83.77
1995-05-01,83.19
