datetime,open,high,low,close,volume
2001-01-01,114.61000061035156,114.62999725341797,114.2699966430664,114.56999969482422,0
2001-01-02,114.61000061035156,115.05000305175781,114.20999908447266,114.4000015258789,0
2001-01-03,114.4000015258789,114.66999816894531,113.5,113.83999633789062,0
2001-01-04,113.80999755859375,116.11000061035156,113.58000183105469,116.08999633789062,0
2001-01-05,116.06999969482422,116.87000274658203,115.94000244140625,116.44999694824219,0
2001-01-08,116.51000213623047,116.55999755859375,115.62000274658203,116.0999984741211,0
2001-01-09,116.0199966430664,117.06999969482422,115.61000061035156,117.06999969482422,0
2001-01-10,117.08999633789062,117.1500015258789,115.73999786376953,116.44999694824219,0
2001-01-11,116.48999786376953,118.0199966430664,116.38999938964844,117.91000366210938,0
2001-01-12,117.91999816894531,118.55999755859375,117.36000061035156,118.47000122070312,0
2001-01-15,118.7300033569336,119.36000061035156,118.51000213623047,119.11000061035156,0
2001-01-16,119.11000061035156,119.12999725341797,117.05999755859375,117.70999908447266,0
2001-01-17,117.68000030517578,119.26000213623047,116.87999725341797,119.16999816894531,0
2001-01-18,119.16000366210938,119.8499984741211,117.61000061035156,117.9000015258789,0
2001-01-19,117.81999969482422,118.27999877929688,116.94000244140625,117.12999725341797,0
2001-01-22,116.69000244140625,117.05999755859375,116.12999725341797,116.45999908447266,0
2001-01-23,116.44000244140625,117.4000015258789,116.38999938964844,116.61000061035156,0
2001-01-24,116.62000274658203,118.44999694824219,116.55000305175781,117.9000015258789,0
2001-01-25,117.88999938964844,117.9800033569336,116.33000183105469,116.62000274658203,0
2001-01-26,116.63999938964844,117.55000305175781,116.30999755859375,117.31999969482422,0
2001-01-29,117.66999816894531,117.66999816894531,116.11000061035156,116.73999786376953,0
2001-01-30,116.69000244140625,116.91999816894531,115.58000183105469,115.6500015258789,0
2001-01-31,115.68000030517578,116.7300033569336,115.66999816894531,116.68000030517578,0
2001-02-01,116.58999633789062,116.69999694824219,115.16999816894531,115.41999816894531,0
2001-02-02,115.4000015258789,116.22000122070312,114.9000015258789,115.62999725341797,0
2001-02-05,115.80000305175781,116.04000091552734,114.55999755859375,114.70999908447266,0
2001-02-06,114.72000122070312,115.26000213623047,114.30000305175781,114.73999786376953,0
2001-02-07,114.76000213623047,116.3499984741211,114.69999694824219,116.16000366210938,0
2001-02-08,116.29000091552734,116.80000305175781,115.80999755859375,116.70999908447266,0
2001-02-09,116.7300033569336,117.75,116.29000091552734,117.5,0
2001-02-12,117.44000244140625,117.93000030517578,117.29000091552734,117.30999755859375,0
2001-02-13,117.33000183105469,117.5999984741211,116.5,116.5999984741211,0
2001-02-14,116.5999984741211,116.87000274658203,116.02999877929688,116.19000244140625,0
2001-02-15,116.18000030517578,116.43000030517578,115.31999969482422,115.62000274658203,0
2001-02-16,115.61000061035156,115.9000015258789,114.5,115.72000122070312,0
2001-02-19,116.16999816894531,116.16999816894531,115.58999633789062,116.08000183105469,0
2001-02-20,116.08999633789062,116.19999694824219,115.16999816894531,115.63999938964844,0
2001-02-21,115.66000366210938,116.8499984741211,115.29000091552734,116.37000274658203,0
2001-02-22,116.44999694824219,117.18000030517578,115.80000305175781,117.01000213623047,0
2001-02-23,117.0,117.0,115.56999969482422,115.75,0
2001-02-26,115.87999725341797,116.7699966430664,115.7699966430664,116.4800033569336,0
2001-02-27,116.47000122070312,116.56999969482422,115.9000015258789,116.36000061035156,0
2001-02-28,116.37000274658203,117.5199966430664,115.81999969482422,117.38999938964844,0
2001-03-01,117.2699966430664,117.55999755859375,116.9800033569336,117.5,0
2001-03-02,117.48999786376953,119.29000091552734,117.26000213623047,119.05000305175781,0
2001-03-05,119.26000213623047,119.75,118.5999984741211,118.91999816894531,0
2001-03-06,118.94999694824219,119.01000213623047,118.19999694824219,118.69999694824219,0
2001-03-07,118.70999908447266,120.22000122070312,118.54000091552734,119.5199966430664,0
2001-03-08,119.5,120.37999725341797,119.25,119.81999969482422,0
2001-03-09,119.80999755859375,119.83999633789062,119.04000091552734,119.54000091552734,0
2001-03-12,119.5999984741211,120.69999694824219,119.44000244140625,120.47000122070312,0
2001-03-13,120.44999694824219,120.56999969482422,119.55000305175781,119.61000061035156,0
2001-03-14,119.6500015258789,121.19999694824219,119.2699966430664,120.81999969482422,0
2001-03-15,120.83000183105469,122.5199966430664,120.4800033569336,121.98999786376953,0
2001-03-16,122.01000213623047,123.16000366210938,121.81999969482422,122.91999816894531,0
2001-03-19,123.18000030517578,123.61000061035156,121.9800033569336,122.80000305175781,0
2001-03-20,122.77999877929688,122.9800033569336,121.94999694824219,122.19999694824219,0
2001-03-21,122.11000061035156,123.91999816894531,122.05999755859375,123.0199966430664,0
2001-03-22,123.02999877929688,124.30000305175781,123.0,123.76000213623047,0
2001-03-23,123.75,123.75,122.47000122070312,122.83000183105469,0
2001-03-25,123.0199966430664,123.80000305175781,122.38999938964844,122.66000366210938,0
2001-03-26,122.66999816894531,123.30999755859375,121.68000030517578,122.16000366210938,0
2001-03-27,122.12999725341797,122.7300033569336,121.37000274658203,122.2699966430664,0
2001-03-28,122.27999877929688,123.76000213623047,122.12000274658203,123.68000030517578,0
2001-03-29,123.69000244140625,126.31999969482422,123.19000244140625,126.2300033569336,0
2001-04-01,126.12999725341797,126.81999969482422,125.62999725341797,126.63999938964844,0
2001-04-02,126.61000061035156,126.75,125.19000244140625,125.52999877929688,0
2001-04-03,125.56999969482422,126.2699966430664,124.79000091552734,125.47000122070312,0
2001-04-04,125.45999908447266,125.4800033569336,123.5,124.26000213623047,0
2001-04-05,124.2699966430664,125.5199966430664,123.62999725341797,123.7300033569336,0
2001-04-08,124.19000244140625,125.47000122070312,124.13999938964844,125.27999877929688,0
2001-04-09,125.29000091552734,125.37999725341797,124.1500015258789,124.41999816894531,0
2001-04-10,124.4000015258789,124.98999786376953,123.83999633789062,124.73999786376953,0
2001-04-11,124.75,124.94999694824219,122.91999816894531,123.5,0
2001-04-12,123.66999816894531,124.44000244140625,123.5,123.5,0
2001-04-15,124.2699966430664,124.91999816894531,124.18000030517578,124.5999984741211,0
2001-04-16,124.58999633789062,124.69999694824219,123.05000305175781,123.37999725341797,0
2001-04-17,123.3499984741211,123.6500015258789,121.94999694824219,122.0,0
2001-04-18,122.0199966430664,122.37000274658203,120.8499984741211,121.23999786376953,0
2001-04-19,121.23999786376953,122.69999694824219,121.16999816894531,122.33000183105469,0
2001-04-22,121.6500015258789,122.52999877929688,121.05000305175781,121.18000030517578,0
2001-04-23,121.12999725341797,122.31999969482422,121.05999755859375,122.30000305175781,0
2001-04-24,122.29000091552734,122.66000366210938,121.91999816894531,122.08999633789062,0
2001-04-25,122.08999633789062,123.54000091552734,121.7699966430664,123.16999816894531,0
2001-04-26,123.25,124.31999969482422,123.12000274658203,124.0199966430664,0
2001-04-29,124.16000366210938,124.16999816894531,123.13999938964844,123.37999725341797,0
2001-04-30,123.38999938964844,123.5199966430664,121.80999755859375,122.11000061035156,0
2001-05-01,122.12000274658203,122.52999877929688,121.20999908447266,121.52999877929688,0
2001-05-02,121.5199966430664,121.80999755859375,120.7300033569336,121.33000183105469,0
2001-05-03,121.37999725341797,121.48999786376953,120.4800033569336,121.27999877929688,0
2001-05-06,121.38999938964844,121.80999755859375,120.8499984741211,120.87000274658203,0
2001-05-07,120.91999816894531,122.12000274658203,120.7300033569336,121.27999877929688,0
2001-05-08,121.31999969482422,122.41000366210938,121.16999816894531,122.30999755859375,0
2001-05-09,122.33000183105469,122.73999786376953,121.97000122070312,122.5199966430664,0
2001-05-10,122.48999786376953,122.81999969482422,122.0199966430664,122.37000274658203,0
2001-05-13,122.63999938964844,123.36000061035156,122.38999938964844,123.19999694824219,0
2001-05-14,123.19000244140625,123.6500015258789,123.01000213623047,123.19999694824219,0
2001-05-15,123.23999786376953,124.02999877929688,123.04000091552734,123.2300033569336,0
2001-05-16,123.27999877929688,123.37999725341797,122.38999938964844,122.5999984741211,0
2001-05-17,122.61000061035156,123.80000305175781,122.51000213623047,123.51000213623047,0
2001-05-20,123.62000274658203,123.72000122070312,122.47000122070312,122.66999816894531,0
2001-05-21,122.66000366210938,123.30999755859375,122.41000366210938,122.72000122070312,0
2001-05-22,122.7300033569336,122.80999755859375,119.3499984741211,120.19999694824219,0
2001-05-23,120.20999908447266,120.4000015258789,118.83000183105469,119.97000122070312,0
2001-05-24,120.08000183105469,120.7699966430664,119.83999633789062,120.58999633789062,0
2001-05-27,120.5,121.26000213623047,120.44000244140625,121.26000213623047,0
2001-05-28,121.2300033569336,121.36000061035156,119.91999816894531,120.05999755859375,0
2001-05-29,120.12000274658203,120.58000183105469,119.9000015258789,120.44000244140625,0
2001-05-30,120.44999694824219,120.51000213623047,118.44000244140625,119.2300033569336,0
2001-05-31,119.20999908447266,119.29000091552734,118.26000213623047,119.20999908447266,0
2001-06-03,119.13999938964844,119.8499984741211,118.8499984741211,119.19999694824219,0
2001-06-04,119.20999908447266,120.41999816894531,118.72000122070312,120.18000030517578,0
2001-06-05,120.19999694824219,120.81999969482422,119.97000122070312,120.0,0
2001-06-06,120.04000091552734,120.36000061035156,119.5999984741211,120.33000183105469,0
2001-06-07,120.30999755859375,120.9800033569336,120.02999877929688,120.8499984741211,0
2001-06-10,120.86000061035156,122.05000305175781,120.8499984741211,121.83000183105469,0
2001-06-11,121.81999969482422,122.05999755859375,121.51000213623047,121.58000183105469,0
2001-06-12,121.55000305175781,122.43000030517578,121.5,122.0199966430664,0
2001-06-13,122.04000091552734,122.26000213623047,121.16999816894531,121.30000305175781,0
2001-06-14,121.31999969482422,123.23999786376953,120.81999969482422,122.87000274658203,0
2001-06-17,122.97000122070312,123.47000122070312,122.68000030517578,123.41999816894531,0
2001-06-18,123.12000274658203,123.7300033569336,122.63999938964844,122.80000305175781,0
2001-06-19,122.87999725341797,124.01000213623047,122.51000213623047,123.87000274658203,0
2001-06-20,123.87999725341797,124.66999816894531,123.6500015258789,124.56999969482422,0
2001-06-21,124.55999755859375,124.69999694824219,123.80999755859375,124.45999908447266,0
2001-06-24,124.30000305175781,124.45999908447266,123.66999816894531,123.9000015258789,0
2001-06-25,123.91000366210938,124.01000213623047,123.2300033569336,123.77999877929688,0
2001-06-26,123.7699966430664,124.43000030517578,123.66000366210938,124.22000122070312,0
2001-06-27,124.2300033569336,124.97000122070312,124.20999908447266,124.8499984741211,0
2001-06-28,124.83000183105469,124.87000274658203,123.75,124.5,0
2001-07-01,124.75,124.9800033569336,123.94999694824219,123.97000122070312,0
2001-07-02,124.0,124.58000183105469,123.58000183105469,124.3499984741211,0
2001-07-03,124.41999816894531,125.02999877929688,124.19000244140625,124.43000030517578,0
2001-07-04,124.43000030517578,125.7699966430664,124.38999938964844,125.55999755859375,0
2001-07-05,125.55000305175781,126.12999725341797,125.44000244140625,125.81999969482422,0
2001-07-08,125.81999969482422,125.95999908447266,125.18000030517578,125.26000213623047,0
2001-07-09,125.2699966430664,125.87000274658203,125.16000366210938,125.2699966430664,0
2001-07-10,125.27999877929688,125.75,123.81999969482422,124.2699966430664,0
2001-07-11,124.30999755859375,124.48999786376953,123.44999694824219,123.93000030517578,0
2001-07-12,123.91999816894531,125.0,123.86000061035156,124.86000061035156,0
2001-07-15,124.73999786376953,125.52999877929688,124.69999694824219,125.5,0
2001-07-16,125.4800033569336,125.66000366210938,124.69999694824219,124.80000305175781,0
2001-07-17,124.80999755859375,125.44000244140625,123.7300033569336,124.08000183105469,0
2001-07-18,123.97000122070312,124.1500015258789,123.18000030517578,123.37999725341797,0
2001-07-19,123.38999938964844,123.7699966430664,122.66000366210938,122.86000061035156,0
2001-07-22,123.16999816894531,124.45999908447266,123.16999816894531,124.37999725341797,0
2001-07-23,124.4000015258789,124.47000122070312,123.80000305175781,124.19999694824219,0
