datetime,open,high,low,close,volume
2014-11-02,36611.703125,36945.734375,35999.88671875,36770.39453125,970746445
2014-11-03,36733.94921875,37648.70703125,36665.43359375,37242.88671875,1472244450
2014-11-04,37198.20703125,37642.28515625,36840.9765625,37514.1484375,1777055805
2014-11-05,37535.828125,39391.2890625,37542.44140625,38922.0703125,2272041980
2014-11-06,38918.859375,40647.56640625,38752.93359375,40227.73046875,2164850490
2014-11-07,40288.5390625,40680.58203125,39184.6171875,39216.7890625,1928020926
2014-11-08,39186.8984375,39745.578125,39186.8984375,39568.7421875,977567379
2014-11-09,39555.9140625,41620.6328125,39427.52734375,41600.99609375,2772025312
2014-11-10,41486.58984375,43032.625,40840.6171875,42115.5390625,3495062478
2014-11-11,41993.06640625,42834.3203125,42076.86328125,42553.34375,1833035897
2014-11-12,42586.90234375,49580.86328125,42546.42578125,48955.1796875,5291622256
2014-11-13,49384.21484375,52894.80078125,46413.94140625,48716.90234375,6825241550
2014-11-14,48448.50390625,48624.84765625,44777.89453125,46254.296875,3440336284
2014-11-15,46467.3046875,47150.7421875,43137.1015625,43732.984375,1828636425
2014-11-16,43569.859375,45438.19921875,43554.97265625,45331.76953125,1391407472
2014-11-17,45386.34765625,47537.9609375,43975.2109375,45175.64453125,4841507268
2014-11-18,45219.609375,45793.3125,43283.375,43841.88671875,3765199125
2014-11-19,43689.74609375,45361.2734375,43723.3984375,44951.15625,2236224216
2014-11-20,44921.86328125,45151.53515625,42196.48828125,42314.578125,2983825900
2014-11-21,42319.19140625,42290.5625,40536.39453125,41319.3671875,3515446277
2014-11-22,41408.40234375,42967.32421875,41322.90234375,41563.390625,1798701210
2014-11-23,41593.41796875,43707.79296875,41593.41796875,43292.74609375,1784555448
2014-11-24,43219.13671875,45791.33984375,43241.27734375,44643.921875,3663670345
2014-11-25,44642.14453125,46602.34765625,44205.7734375,44215.9921875,2997091160
2014-11-26,44295.0390625,44496.6015625,43016.3046875,43323.99609375,2187745937
2014-11-27,43574.7421875,43895.44140625,43405.71875,43573.00390625,1031130296
2014-11-28,43538.11328125,45408.41796875,42369.37890625,44650.37890625,2721684365
2014-11-29,44615.390625,45973.35546875,44140.1171875,44536.98828125,1823699916
2014-11-30,44539.2421875,45371.52734375,44278.1796875,44927.10546875,1092667250
2014-12-01,44951.109375,45609.73828125,44770.87890625,44868.4765625,1391680530
2014-12-02,44869.06640625,45662.1171875,44769.2109375,45448.93359375,1473677079
2014-12-03,45497.4453125,45664.359375,44663.22265625,44944.94921875,1598810985
2014-12-04,45029.80078125,45400.734375,44068.5625,44278.55859375,1740646080
2014-12-05,44259.1484375,46033.90625,43824.88671875,45753.84375,1843222338
2014-12-06,45742.06640625,45947.37109375,45036.43359375,45502.6484375,851001541
2014-12-07,45508.83984375,45681.84765625,45319.31640625,45611.55078125,789384640
2014-12-08,45595.7421875,45710.0859375,43676.01953125,43657.08203125,2279750181
2014-12-09,43655.390625,43898.4296875,41076.765625,42030.29296875,3927806615
2014-12-10,42028.62109375,42046.4609375,40746.37890625,40746.37890625,1932554628
2014-12-11,40508.15625,42708.78125,40014.6875,41706.7109375,3859000387
2014-12-12,41745.62109375,41881.43359375,41499.26171875,41881.98828125,2018388240
2014-12-13,41862.86328125,41862.86328125,41174.65625,41268.26953125,1387096920
2014-12-14,41191.16796875,41896.2109375,41035.66015625,41545.3203125,1466855880
2014-12-15,41513.30078125,41528.2421875,40640.12109375,40664.375,2032859550
2014-12-16,40702.99609375,40766.40234375,38141.97265625,38141.97265625,3599464638
